,All,Hard,Soft
"Total number of dependencies",1764,1569,195

"Dependencies for each module:",All,Hard,Soft
magento/module-asynchronous-operations,5,3,2
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-admin-notification",,0,1
" -- magento/module-logging",,0,1

magento/module-catalog,28,25,3
" -- magento/module-authorization",,1,0
" -- magento/module-asynchronous-operations",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-catalog-url-rewrite",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-indexer",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-product-alert",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-url-rewrite",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-cookie",,0,1
" -- magento/module-sales",,0,1
" -- magento/module-catalog-sample-data",,0,1

magento/module-backend,18,17,1
" -- magento/module-backup",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-config",,1,0
" -- magento/module-cms",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-developer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-require-js",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-security",,1,0
" -- magento/module-store",,1,0
" -- magento/module-translation",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-user",,1,0
" -- magento/module-theme",,0,1

magento/module-authorization,1,1,0
" -- magento/module-backend",,1,0

magento/module-captcha,6,6,0
" -- magento/module-backend",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-authorization",,1,0

magento/module-checkout,21,20,1
" -- magento/module-captcha",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-msrp",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-security",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-authorization",,1,0
" -- magento/module-cookie",,0,1

magento/module-bundle,19,16,3
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-catalog-rule",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-webapi",,0,1
" -- magento/module-bundle-sample-data",,0,1
" -- magento/module-sales-rule",,0,1

magento/module-sales,25,24,1
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-bundle",,1,0
" -- magento/module-catalog-inventory",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-config",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-gift-message",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-payment",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-reports",,1,0
" -- magento/module-sales-rule",,1,0
" -- magento/module-sales-sequence",,1,0
" -- magento/module-shipping",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-widget",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-sales-sample-data",,0,1

magento/module-customer,21,18,3
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-catalog",,1,0
" -- magento/module-checkout",,1,0
" -- magento/module-config",,1,0
" -- magento/module-directory",,1,0
" -- magento/module-eav",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-media-storage",,1,0
" -- magento/module-newsletter",,1,0
" -- magento/module-page-cache",,1,0
" -- magento/module-quote",,1,0
" -- magento/module-sales",,1,0
" -- magento/module-store",,1,0
" -- magento/module-tax",,1,0
" -- magento/module-theme",,1,0
" -- magento/module-ui",,1,0
" -- magento/module-wishlist",,1,0
" -- magento/module-cookie",,0,1
" -- magento/module-customer-sample-data",,0,1
" -- magento/module-webapi",,0,1

magento/module-integration,7,7,0
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-customer",,1,0
" -- magento/module-security",,1,0
" -- magento/module-store",,1,0
" -- magento/module-user",,1,0
" -- magento/module-ui",,1,0

magento/module-user,7,7,0
" -- magento/module-authorization",,1,0
" -- magento/module-backend",,1,0
" -- magento/module-email",,1,0
" -- magento/module-integration",,1,0
" -- magento/module-security",,1,0
" -- magento/module-store",,1,0
" -- magento/module-ui",,1,0

magento/module-deploy,4,4,0
" -- magento/module-config",,1,0
" -- magento/module-require-js",,1,0
" -- magento/module-store",,1,0
" -- magento/module-user",,1,0

magento/module-config,7,7,0
" -- magento/module-backend",,1,0
